facility_id,facility_name,county,municipality,operator_developer,status,status_detail,status_as_of,inventory_role,workload,capacity_mw,capacity_type,capacity_scope,capacity_value_status,capacity_qualifier,cooling_type_reported,cooling_value_status,avg_annual_water_value,avg_annual_water_unit,avg_annual_water_availability,peak_max_water_value,peak_max_water_unit,peak_max_water_metric,peak_max_water_availability,wue_value,wue_unit,wue_availability,water_provider_reported,water_source_reported,water_provider_availability,reclaimed_recycled_reported,primary_source_ids,notes
FAC001,H5 Cleveland,Cuyahoga,Cleveland,H5 Data Centers,operating,Expansion underway; H5 advertises 10+ MW expansion for Q1 2027,2026-08-27,analytical_case,colocation/enterprise,10.0,utility feed,existing facility utility feeds,reported,Official 2025 facility sheet states diverse 10 MW utility feeds; separate 10+ MW expansion advertised for Q1 2027. Do not add these figures.,closed-loop chilled-water system with economization,reported,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,Closed-loop recirculation reported; no separate reclaimed-water claim established,SRC001;SRC002,"Address: 1625 Rockwell Ave., Cleveland, OH 44114."
FAC002,DataBank CLE1,Cuyahoga,Cleveland,DataBank,operating,,2026-08-27,regional_inventory,colocation,0.4,critical IT load,facility,reported,,air cooling; N+1 cooling design,reported,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC003;SRC022,Capacity retained from operator page in raw research.
FAC003,Slavic Village hyperscale project,Cuyahoga,Cleveland,,rejected,Rejected proposal,2026-06-01,historical_comparison,data center,,,,missing,No defensible MW value in current research.,,not applicable,,,not applicable,,,,not applicable,,,not applicable,,,not applicable,,SRC004,Preserved for governance/history.
FAC004,Aligned NEO-01,Erie,Sandusky / Perkins Township,Aligned Data Centers,operating,Operating by August 2026; facility tours held July 2026,2026-08-27,analytical_case,data center,96.0,fully built-out power,full buildout,reported_secondary,96 MW is reported by facility-specific secondary source; operator-primary capacity definition not located.,Delta3 air cooling arrays; secondary loops/taps for DeltaFlow liquid cooling,reported,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC005;SRC006;SRC034,"Address: 2509 Hayes Ave., Sandusky, OH 44870. Operator page provides NEO-01 cooling architecture; exact public water provider still not publicly established in retained search."
FAC005,Perry Technology Park / Champion Farm,Lake,Perry Village,Province Group / project development group,proposed,Phased multi-building campus; exact MW load not yet determined in developer Q&A,2026-08-27,analytical_case,data center,,,full buildout,missing,Developer states exact MW load will be determined during final building design. Third-party 200 MW estimate excluded from master.,closed-loop; air/free cooling,reported,,,not publicly found,273000.0,gpd,maximum allocation for all facility water uses,reported,,,not publicly found,Public water connection; developer identifies Bacon Road water treatment facility as serving Perry Village,,reported_system_context; exact PWS identity not independently verified,Closed-loop fluid recirculated; periodic top-off from public water; maintenance fluid hauled off-site,SRC007;SRC008;SRC035,"A separate developer page says <275,000 gpd; retain discrepancy in audit/source layer rather than reconcile."
FAC006,Bitdeer Shalersville,Portage,Shalersville Township,Bitdeer Technologies Group / Geis Companies,proposed,Phased campus; subject to local regulatory process,2026-08-27,analytical_case,data center / crypto-AI infrastructure,150.0,electrical capacity,Phase 1,reported,"Phase 1 = 150 MW (reported). Full buildout reported up to 750 MW per site plan presented at June 2026 township meeting, per News 5 Cleveland (SRC036); this is a presented site plan, not a company press release or regulatory filing, and may change before final permitting. Full-build value preserved here rather than replacing Phase 1 value.",closed-loop,reported,350.0,gpd,reported_scope_limited,,,,not publicly found,,,not publicly found,Portage County Water Resources,,reported_site_provider,Cooling liquid recirculated in closed loop,SRC009;SRC033;SRC036,"350 gpd applies to first group of buildings, not full campus. Full buildout: up to 750 MW. Separate ~3,000 gpd claim relates to restrooms/drinking water per later reporting and is not coded as cooling demand. Site listing for 4400 Beck Road identifies Portage County Water Resources as water provider and a 16-inch water line."
FAC007,Ark Data Centers Canton,Stark,Canton,Ark Data Centers,operating,,2026-08-27,regional_inventory,data center,1.5,utility power capacity,facility,reported,Official Ark Ohio page reports 1.5 MW utility power capacity.,"computer room air conditioners (CRACs), N+1",reported,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC023,Official operator source supersedes earlier ~2 MW tracker value.
FAC008,Panattoni Perry Township project,Stark,Perry Township,Panattoni,proposed,Approved/planned; moving ahead after local approvals,2026-08-27,regional_inventory,data center,240.0,critical IT capacity,project/full buildout,reported_secondary,240 MW critical IT is reported by a sourced facility registry; local project materials support the project but retained source set does not independently define the MW basis.,,not publicly found,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC010;SRC011;SRC024,Not one of seven analytical water-system cases.
FAC009,Viking Data Centers Akron,Summit,Akron,Viking Data Centers,operating,Mixed crypto/AI; future 250 MW expansion plan advertised,2026-08-27,analytical_case,mixed crypto/AI,150.0,delivered facility electrical power,current operating site,reported,"Official site says substation is currently delivering 150 MW; planned additional 250 MW is contextual, not added to current capacity.",air-cooled,reported,,,not publicly found,,,,not publicly found,,,not publicly found,Water supply access acknowledged by operator,,not publicly found,,SRC012,"Address: 428 Seiberling St., Akron, OH."
FAC010,Ark Data Centers Akron,Summit,Akron,Ark Data Centers,operating,Expansion reported,2026-08-27,regional_inventory,data center,5.0,utility power capacity,Akron campus,reported,Official Ark Ohio page reports 5 MW utility power capacity for Akron.,chillers with waterside economization and CRACs; Akron II also uses Liebert DSE with EconoPhase; direct liquid cooling added for HPC,reported,,,not publicly found,,,,not publicly found,,,not publicly found,,,not publicly found,,SRC023;SRC025,Official operator sources supersede earlier ~2 MW value.
